accuracy	f1_score	auroc	precision	sensitivity	specificity
0.6761768901569187	0.4944320712694877	0.657757015347075	0.4111111111111111	0.6201117318435754	0.6954022988505747
0.6619115549215406	0.5878260869565218	0.6571706768218799	0.5451612903225806	0.6377358490566037	0.676605504587156
0.7360912981455064	0.3018867924528302	0.5865342576978327	0.25477707006369427	0.37037037037037035	0.8026981450252951
0.8373751783166904	0.32142857142857145	0.63079137946078	0.28421052631578947	0.3698630136986301	0.89171974522293
0.724679029957204	0.4623955431754874	0.6658869323902846	0.3915094339622642	0.564625850340136	0.7671480144404332
0.7960057061340942	0.45627376425855515	0.7098104684277718	0.37267080745341613	0.5882352941176471	0.8313856427378965
0.8288159771754636	0.393939393939394	0.69573041941463	0.31451612903225806	0.527027027027027	0.8644338118022329
0.7774607703281027	0.28440366972477066	0.5995607333842629	0.23308270676691728	0.36470588235294116	0.8344155844155844
0.8388017118402282	0.11023622047244096	0.560638531706781	0.07	0.25925925925925924	0.8620178041543026
0.8273894436519258	0.1986754966887417	0.6109571322985957	0.13636363636363635	0.36585365853658536	0.8560606060606061
0.8858773181169758	0.2156862745098039	0.6796836533727227	0.14102564102564102	0.4583333333333333	0.9010339734121122
0.9514978601997147	0.05555555555555555	0.5125838004176283	0.1111111111111111	0.037037037037037035	0.9881305637982196
0.8245363766048502	0.19607843137254902	0.5591027276295134	0.16853932584269662	0.234375	0.8838304552590267
0.9300998573466477	0.039215686274509796	0.5140904692791485	0.02564102564102564	0.08333333333333333	0.9448476052249637
0.9300998573466477	0.1090909090909091	0.5674726277372263	0.07692307692307693	0.1875	0.9474452554744526
0.9629101283880172	0.07142857142857142	0.518789277927408	0.2	0.043478260869565216	0.9941002949852508
0.9814550641940085	0.0	0.49710982658959535	0.0	0.0	0.9942196531791907
